country_name,country_code,indicator_name,Average_Inflation1960_1964,Average_Inflation1965_1969,Average_Inflation1970_1974,Average_Inflation1975_1979,Average_Inflation1980_1984,Average_Inflation1985_1989,Average_Inflation1990_1994,Average_Inflation1995_1999,Average_Inflation2000_2004,Average_Inflation2005_2009,Average_Inflation2010_2014,Average_Inflation2015_2019,Inflation_2021,Inflation_2022
Estonia,EST,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,27.49,14.78,3.54,5.8,2.91,1.76,0.44,4.65
Ethiopia,ETH,"Inflation, consumer prices (annual %)",0,0.41,0.21,16.42,4.85,4.35,12.51,2.55,2.2,18.47,15.87,11.31,2.36,26.84
European Union,EUU,"Inflation, consumer prices (annual %)",2.74,3.27,3,9.11,1.12,4.78,5.48,3.13,2.67,2.53,1.78,0.98,0.5,2.55
Fragile and conflict affected situations,FCS,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,13.46,9.3,3.88,6.54,3.96,1.95,2.93,5.26
Finland,FIN,"Inflation, consumer prices (annual %)",4.95,4.63,4.79,11.84,9.58,4.78,3.33,1.3,1.65,1.75,1.99,0.6,0.29,2.19
Fiji,FJI,"Inflation, consumer prices (annual %)",0,0,0,9.8,8.94,5.97,5.12,3.25,2.63,4.1,3.56,2.89,2.6,0.16
France,FRA,"Inflation, consumer prices (annual %)",4.2,4.12,4.7,1.14,11.2,3.57,2.51,1.23,1.89,1.56,1.39,0.84,0.48,1.64
Faroe Islands,FRO,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micronesia, Fed. Sts.",FSM,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0.99,5.4,3.16,0.54,0.55,0
Gabon,GAB,"Inflation, consumer prices (annual %)",2.1,2.72,2.41,16.24,1.85,2.13,4.63,2.76,1.6,2.9,2.11,2.33,1.18,0
United Kingdom,GBR,"Inflation, consumer prices (annual %)",2.79,4.46,3.62,15.66,9.6,4.71,4.98,2.26,1.4,2.48,2.53,1.59,0.99,2.52
Georgia,GEO,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,46.38,4.16,7.68,3.45,3.93,5.2,9.57
Ghana,GHA,"Inflation, consumer prices (annual %)",0,8.96,4.48,65.98,7.28,26.25,23.4,3.68,27.79,14.72,11.56,12.39,9.89,9.97
